,Unnamed: 0,avg_vol_3m,change,company_name,last_price,market_cap,pe_ratio_ttm,percent_change,sector_name,symbol,volume,Apr_1_2024,Mar_1_2024,Feb_1_2024,Jan_1_2024,Dec_1_2023,Nov_1_2023,Oct_1_2023,Sep_1_2023,Aug_1_2023,Jul_1_2023,Jun_1_2023,May_1_2023,Apr_1_2023,Mar_1_2023,Feb_1_2023,Jan_1_2023,Dec_1_2022,Nov_1_2022,Oct_1_2022,Sep_1_2022,Aug_1_2022,Jul_1_2022,Jun_1_2022,May_1_2022,Apr_1_2022,Mar_1_2022,Feb_1_2022,Jan_1_2022,Dec_1_2021,Nov_1_2021,Oct_1_2021,Sep_1_2021,Aug_1_2021,Jul_1_2021,Jun_1_2021,May_1_2021,Apr_1_2021,Mar_1_2021,Feb_1_2021,Jan_1_2021,Dec_1_2020,Nov_1_2020,Oct_1_2020,Sep_1_2020,Aug_1_2020,Jul_1_2020,Jun_1_2020,May_1_2020,Apr_1_2020,Mar_1_2020,Feb_1_2020,Jan_1_2020,Dec_1_2019,Nov_1_2019,Oct_1_2019,Sep_1_2019,Aug_1_2019,Jul_1_2019,Jun_1_2019,May_1_2019,3m_change,3m_rolling_avg,3m_volatility,6m_change,6m_rolling_avg,6m_volatility,12m_change,12m_rolling_avg,12m_volatility,recommendation
623,623,2.216M,-2.06,PACCAR Inc,111.676,58519453696,12.75,-1.81%,Industrials,PCAR,556401,112.58,123.89,110.89,100.39,97.65,91.82,82.53,85.02,82.29,86.13,83.65,68.78,74.69,73.2,72.2,72.87,65.98,70.61,64.55,55.79,58.34,61.01,54.89,57.89,55.37,58.71,61.21,61.99,58.84,55.61,59.75,52.61,54.58,55.33,59.5,61.04,59.92,61.95,60.66,60.81,57.52,58.04,56.92,56.85,57.23,56.72,49.9,49.24,46.15,40.75,44.6,49.47,52.73,54.25,50.71,46.67,43.71,46.76,47.77,43.88,1.5240328253223894,115.78666666666668,5.77131026910027,22.609453278152916,106.20333333333333,10.718205177277687,63.681302704274486,93.80166666666666,15.101790088889755,Sell
626,626,4.731M,-0.4,"Copart, Inc.",54.53,52428521472,38.95,-0.73%,Industrials,CPRT,403405,53.3,57.92,53.15,48.04,49.0,50.22,43.52,43.09,44.83,44.19,45.6,43.79,39.53,37.6,35.23,33.31,30.44,33.28,28.75,26.6,29.91,32.03,27.17,28.63,28.41,31.37,30.72,32.31,37.9,36.29,38.82,34.68,36.08,36.75,32.96,32.25,31.13,27.15,27.29,27.44,31.81,28.86,27.59,26.29,25.83,23.31,20.82,22.35,20.03,17.13,21.12,25.36,22.74,22.25,20.66,20.08,18.85,19.38,18.68,17.87,0.2822201317027255,54.79,2.2140912356991995,6.133014735165269,51.93833333333333,3.3137612902695466,21.717287051838316,48.05416666666667,4.574761302212632,Buy
629,629,"547,491",9.8,"United Rentals, Inc.",664.99,44667580416,18.86,+1.50%,Industrials,URI,263365,629.3,721.11,693.27,625.4,573.42,476.02,406.27,444.57,476.54,464.68,445.37,333.79,361.11,395.76,468.53,440.95,355.42,353.03,315.71,270.12,292.04,322.67,242.91,298.18,316.52,355.21,321.62,320.12,332.29,338.74,379.11,350.93,352.65,329.55,319.01,333.96,319.95,329.31,297.38,243.01,231.91,226.98,178.29,174.5,177.05,155.37,149.04,138.89,128.5,102.9,132.48,135.69,166.77,153.05,133.57,124.64,112.56,126.55,132.63,110.1,-9.227285184704376,681.2266666666666,38.436531523481115,32.20032771732279,619.7533333333333,80.21527985503899,88.5317115551694,524.145,116.16160162319845,Sell
630,630,5.462M,-0.49,Johnson Controls International plc,64.12,43697590272,23.84,-0.76%,Industrials,JCI,462494,64.64,65.32,59.27,52.69,57.64,52.8,49.02,53.21,59.06,69.55,68.14,59.7,59.84,60.22,62.72,69.57,64.0,66.44,57.84,49.22,54.14,53.91,47.88,54.51,59.87,65.57,64.96,72.67,81.31,74.76,73.37,68.08,74.8,71.42,68.63,66.54,62.34,59.67,55.79,49.82,46.59,46.04,42.21,40.85,40.73,38.48,34.14,31.41,29.11,26.96,36.57,39.45,40.71,42.83,43.33,43.89,42.69,42.44,41.31,38.52,9.06023283279905,63.07666666666666,2.7059974542157654,22.424242424242433,58.72666666666667,5.02464481884596,8.274706867671688,59.25333333333333,6.322055748638166,Buy
632,632,1.214M,-2.3,Ferguson plc,206.89,41848881152,24.06,-1.10%,Industrials,FERG,136483,208.19,218.43,211.45,187.86,193.07,171.34,150.2,164.47,161.56,161.62,157.31,144.91,140.82,133.75,144.1,142.34,126.97,117.23,109.26,102.93,115.49,126.08,110.71,119.56,124.71,134.12,152.24,158.79,179.39,152.43,151.21,139.52,144.46,140.05,139.54,135.98,126.5,120.13,120.75,118.92,118.5,110.0,100.4,100.75,97.86,89.35,82.15,79.2,71.5,58.83,90.65,90.95,91.61,89.7,85.0,73.95,70.97,74.83,71.02,69.35,-1.5417356349018638,212.68999999999997,4.2714244306398195,21.506945255048436,198.39,16.016090867208096,43.66848388655028,177.53416666666666,24.235825224356518,Buy
634,634,"956,240",-1.53,"AMETEK, Inc.",176.69,40852848640,31.16,-0.86%,Industrials,AME,95324,177.86,182.9,180.18,162.05,164.89,155.23,140.77,147.76,159.51,158.6,161.88,145.07,137.93,145.33,141.56,144.92,139.72,142.42,129.66,113.41,120.16,123.5,109.89,121.47,126.26,133.18,129.79,136.77,147.04,136.5,132.4,124.01,135.97,139.05,133.5,135.1,134.93,127.73,117.97,113.26,120.94,118.53,98.2,99.4,100.7,93.25,89.37,91.71,83.87,72.02,86.0,97.15,99.74,99.01,91.65,91.82,85.93,89.61,90.84,81.89,-1.2876012876012837,180.31333333333336,2.059730295181599,14.578367583585663,170.51833333333335,10.309198831895507,22.602881367615648,161.39166666666668,12.99518682264921,Buy
635,635,3.268M,-4.36,Cummins Inc.,287.98,39383859200,55.92,-1.49%,Industrials,CMI,110982,290.4,294.65,268.61,239.3,239.57,224.16,216.3,228.46,230.04,260.8,245.16,204.41,235.04,238.88,243.08,249.54,242.29,251.16,244.51,203.51,215.37,221.31,193.53,209.12,189.19,205.11,204.12,220.88,218.14,209.75,239.84,224.56,235.98,232.1,243.81,257.28,252.04,259.11,253.2,234.42,227.1,231.17,219.89,211.16,207.25,193.26,173.26,169.6,163.5,135.32,151.29,159.97,178.96,182.86,172.48,162.67,149.27,164.0,171.34,150.76,8.112132831986882,284.55333333333334,11.406373462041087,29.550321199143458,259.4483333333333,26.856002070714506,42.0674135316276,245.155,27.077025470559594,Sell
640,640,2.505M,-1.15,Ingersoll Rand Inc.,91.35,36853878784,48.08,-1.24%,Industrials,IR,195149,88.63,94.95,91.33,79.86,77.34,71.43,60.68,63.72,69.61,65.27,65.36,56.66,57.02,58.18,58.07,56.0,52.25,53.97,50.5,43.26,47.37,49.8,42.08,47.15,43.96,50.35,50.52,56.21,61.87,58.34,53.76,50.41,53.02,48.87,48.81,49.64,49.41,49.21,46.34,41.84,45.56,44.27,34.94,35.6,35.06,31.59,28.12,28.2,29.08,24.8,32.79,35.31,36.68,33.87,31.83,28.29,28.68,32.97,34.6,33.97,-2.9563122741705934,91.63666666666666,2.589225538435944,24.07951840963179,83.92333333333333,8.311970618063777,56.424285210024706,73.73666666666666,12.105258040298944,Buy
642,642,2.182M,-3.37,Global Payments Inc.,124.1,31656046592,32.92,-2.64%,Industrials,GPN,135438,124.23,133.66,129.7,133.23,127.0,116.44,106.22,115.39,126.69,110.25,98.52,97.69,112.71,105.24,112.2,112.72,99.32,103.78,114.26,108.05,124.23,122.32,110.64,131.04,136.98,136.84,133.38,149.88,135.18,119.04,142.99,157.58,162.64,193.41,187.54,193.71,214.63,201.58,197.99,176.52,215.42,195.19,157.74,177.58,176.62,178.02,169.62,179.49,166.02,144.23,183.97,195.45,182.56,181.1,169.18,159.0,165.98,167.92,160.13,154.04,-4.217424826522733,129.19666666666666,3.866198247489239,6.690140845070427,127.37666666666667,5.8990639558794005,27.167570887501284,118.25166666666667,12.276979021277542,Buy
643,643,"907,146",-1.49,"Verisk Analytics, Inc.",220.76,31511724032,42.29,-0.67%,Industrials,VRSK,123213,223.17,235.73,241.9,241.53,238.86,241.43,227.36,236.24,242.22,228.94,226.03,219.11,194.11,191.86,171.11,181.79,176.42,183.71,182.83,170.53,187.16,190.25,173.09,174.92,204.05,214.63,177.34,196.13,228.73,224.87,210.27,200.27,201.76,189.94,174.72,172.83,188.2,176.69,163.85,183.5,207.59,198.31,177.97,185.31,186.67,188.71,170.2,172.68,152.83,139.38,155.11,162.47,149.34,147.48,144.7,158.14,161.54,151.72,146.46,140.0,-7.742868954113277,233.6,7.793411747538222,-7.563268856397307,237.10333333333335,6.588286744080157,1.852950572771655,233.54333333333338,7.869915642636979,Sell
644,644,1.145M,-3.05,"Rockwell Automation, Inc.",272.51,31227467776,25.95,-1.11%,Industrials,ROK,106473,273.47,291.33,285.08,253.28,310.48,275.44,262.81,285.87,312.08,336.29,329.45,278.6,283.41,293.45,294.93,282.03,257.57,264.22,255.3,215.11,236.94,255.28,199.31,213.2,252.67,280.03,266.58,289.22,348.85,336.2,319.4,294.04,325.45,307.42,286.02,263.72,264.26,265.44,243.28,248.53,250.81,255.56,237.12,220.68,230.53,218.14,213.0,216.16,189.48,150.91,183.5,191.66,202.67,195.84,171.99,164.8,152.79,160.78,163.83,148.85,-4.072541041111252,283.2933333333333,7.399956456328326,-0.7152192855068147,281.5133333333333,17.544503096095053,-1.8413496051686988,291.1816666666666,24.72372100949927,Sell
645,645,1.171M,-1.44,Xylem Inc.,129.23,31325222912,46.15,-1.10%,Industrials,XYL,121101,128.98,129.24,127.05,112.44,114.36,105.13,93.54,91.03,103.54,112.75,112.62,100.2,103.84,104.7,102.65,104.01,110.57,112.35,102.43,87.36,91.1,92.03,78.18,84.25,80.5,85.26,88.95,105.02,119.92,121.11,130.59,123.68,136.31,125.85,119.96,118.12,110.65,105.18,99.56,96.59,101.79,95.97,87.14,84.12,80.18,72.98,64.96,66.34,71.9,65.13,77.34,81.66,78.79,77.51,76.69,79.62,76.61,80.29,83.64,74.22,1.5190869736324224,128.42333333333335,0.9768771104334939,22.686198040521255,119.53333333333335,9.34963397976389,28.72255489021955,110.90666666666665,12.392629081657997,Buy
647,647,1.091M,-1.18,Westinghouse Air Brake Technologies Corporation,162.195,28679645184,31.62,-0.73%,Industrials,WAB,191102,145.69,145.68,141.29,131.57,126.9,116.56,106.02,106.27,112.52,118.44,109.67,92.63,97.67,101.06,104.33,103.81,99.81,101.09,93.28,81.35,87.65,93.47,82.08,94.46,89.91,96.17,92.82,88.9,92.11,88.77,90.73,86.21,89.79,84.87,82.3,82.76,82.07,79.16,72.43,74.21,73.2,73.3,59.3,61.88,66.55,62.19,57.57,61.07,56.42,48.13,68.7,73.86,77.8,78.57,69.37,71.86,69.21,77.68,71.76,62.38,3.114162361101285,144.22,2.0718268910955584,24.9914207275223,134.615,10.680369453659674,57.28165821008313,121.10333333333335,16.455916025011252,Buy
648,648,"887,304",-3.41,Equifax Inc.,222.305,27479343104,49.51,-1.51%,Industrials,EFX,245070,218.93,267.52,273.59,244.34,247.29,217.71,169.57,183.18,206.7,204.08,235.3,208.62,208.38,202.84,202.53,222.2,194.36,197.37,169.54,171.43,188.75,208.91,182.78,202.58,203.52,237.1,218.34,239.76,292.79,278.65,277.43,253.42,272.26,260.6,239.51,235.04,229.23,181.13,161.88,177.11,192.84,166.9,136.6,156.9,168.27,162.56,171.88,153.56,138.9,119.45,142.04,149.9,140.12,139.64,136.71,140.67,146.38,139.09,135.24,120.9,-19.97880039475126,253.34666666666666,24.4620990286788,0.5603784851407831,244.89666666666668,21.4263977892277,4.94199980826383,223.0691666666667,30.349901004323257,Sell
650,650,"237,401",-1.15,HEICO Corporation,163.925,24839720960,53.75,-0.69%,Industrials,HEI-A,21083,161.87,153.94,155.59,141.47,142.44,137.41,127.13,129.22,135.43,140.35,140.6,121.85,134.23,135.9,130.15,133.68,119.85,126.78,127.3,114.62,122.58,127.68,105.38,117.09,116.64,126.83,122.92,109.7,128.52,124.2,125.68,118.43,114.24,121.29,124.18,132.46,126.28,113.6,115.76,106.31,117.06,110.75,93.5,88.66,89.38,76.55,81.24,83.95,72.33,63.9,88.33,96.15,89.53,100.44,95.27,97.31,110.36,105.39,103.37,98.26,4.036249116267113,157.13333333333333,3.416395111159652,17.800742304053568,148.78666666666666,8.824758101815346,32.84366023799755,140.60833333333332,11.396949762497373,Buy
651,651,"993,104",7.33,Dover Corporation,178.77,24558708736,23.74,+4.28%,Industrials,DOV,493320,170.28,177.19,165.38,149.78,153.81,141.16,129.95,139.51,148.3,145.97,147.65,133.33,146.16,151.94,149.9,151.83,135.41,141.95,130.69,116.58,124.96,133.68,121.32,133.91,133.3,156.9,156.86,169.91,181.6,163.85,169.08,155.5,174.36,167.12,150.6,150.5,149.19,137.13,123.26,116.49,126.25,122.03,110.71,108.34,109.84,102.93,96.56,97.25,93.65,83.94,102.74,113.85,115.26,111.48,103.89,99.56,93.74,96.85,100.2,89.41,2.9628733825130036,170.95000000000002,4.844632769020442,20.629073391895723,159.6,12.42892459815678,27.71319282982073,150.1925,13.826210691412644,Buy
652,652,1.178M,-0.11,Southern Copper Corporation,109.12,84362092544,34.86,-0.10%,Basic Materials,SCCO,179424,111.58,106.52,80.86,82.1,86.07,71.93,70.9,75.29,80.66,87.44,71.74,66.77,76.83,76.25,73.69,75.21,60.39,61.02,46.97,44.84,47.07,49.8,49.81,61.78,62.27,75.9,69.39,63.89,61.71,58.5,59.99,56.14,62.59,65.64,64.32,69.74,69.41,67.87,71.33,66.41,65.12,59.37,52.34,45.27,48.1,43.71,39.77,36.3,32.44,28.16,33.65,37.68,42.48,38.03,35.58,34.13,31.6,35.79,38.85,33.73,37.991590403165965,99.65333333333332,13.448492687121316,55.12303628527734,89.84333333333332,14.296730006854323,67.1109779841246,82.65499999999999,13.314095600778396,Sell
654,654,14.181M,0.06,Freeport-McMoRan Inc.,48.3,69551996928,37.73,+0.12%,Basic Materials,FCX,2848928,48.95,47.02,37.81,39.69,42.57,37.32,33.78,37.29,39.91,44.65,40.0,34.34,37.91,40.91,40.97,44.62,38.0,39.8,31.69,27.33,29.6,31.55,29.26,39.08,40.55,49.74,46.95,37.22,41.73,37.08,37.72,32.53,36.39,38.1,37.11,42.72,37.71,32.93,33.91,26.91,26.02,23.39,17.34,15.64,15.61,12.92,11.57,9.07,8.83,6.75,9.96,11.1,13.12,11.38,9.82,9.57,9.19,11.06,11.61,9.71,29.463104998677597,44.593333333333334,4.860825261436809,31.162915326902475,42.22666666666667,4.4406105686293,42.54513686662783,40.2775,4.535388856904481,Buy
655,655,1.254M,-2.32,Ecolab Inc.,218.46,62460338176,45.61,-1.05%,Basic Materials,ECL,126203,219.31,230.9,224.84,198.22,198.35,191.73,167.74,169.4,183.81,183.14,186.69,165.05,167.84,165.53,159.37,154.83,145.56,149.83,157.07,144.42,163.83,165.17,153.76,163.91,169.34,176.56,176.26,189.45,234.59,221.47,222.22,208.62,225.36,220.83,205.97,215.08,224.12,214.07,209.36,204.51,216.36,222.15,183.59,199.84,197.08,187.08,198.95,212.58,193.5,155.83,180.45,196.11,192.99,186.67,192.07,198.04,206.31,201.73,197.44,184.09,-2.4595267745952683,225.01666666666668,4.7332464780763575,14.384811975173427,210.55833333333337,15.000694891311616,32.874886398061186,193.26500000000001,21.206867401858297,Buy
656,656,3.608M,-0.9,CRH plc,76.725,52704088064,17.72,-1.17%,Basic Materials,CRH,398646,77.6,86.26,84.31,71.76,69.16,62.75,53.57,54.73,57.57,60.3,55.73,47.54,48.5,50.87,47.31,47.08,39.79,40.35,36.21,32.23,36.99,38.59,34.82,41.49,39.58,40.06,44.89,50.41,52.8,48.68,47.94,46.74,53.12,49.89,50.84,52.07,47.27,46.98,43.33,41.14,42.58,39.25,35.15,36.09,37.1,36.39,34.31,32.16,30.12,26.84,33.88,37.59,40.33,38.3,36.5,34.36,33.62,33.36,32.75,31.35,-7.95872375756139,82.72333333333334,3.709180802040021,23.66533864541832,75.30666666666667,8.309885010569575,63.23096339924273,65.10666666666667,12.095970633047832,Buy
657,657,1.855M,-0.44,"Air Products and Chemicals, Inc.",234.24,52071784448,22.37,-0.19%,Basic Materials,APD,184266,234.36,242.27,234.04,255.71,273.8,270.55,282.44,283.4,295.49,305.33,299.53,269.14,294.36,287.21,285.98,320.51,308.26,310.16,250.4,232.73,252.45,248.23,240.48,246.16,234.07,249.91,236.3,282.12,304.26,287.44,299.81,256.11,269.51,291.03,287.68,299.66,288.48,281.34,255.62,266.76,273.22,280.14,276.24,297.86,292.26,286.63,241.46,241.65,225.58,199.61,219.61,238.71,234.99,236.33,213.26,221.86,225.92,228.27,226.37,203.59,0.13672876431380174,236.89,3.8064769363108844,-13.376455368693401,251.78833333333333,16.130932414326075,-12.922642490896921,270.505,23.546396574989267,Hold
659,659,1.427M,-1.26,Nucor Corporation,171.495,41155366912,10.08,-0.73%,Basic Materials,NUE,201543,191.63,197.9,192.3,186.93,174.04,169.97,147.79,156.35,172.1,172.09,163.98,132.06,148.18,154.47,167.44,169.02,131.81,149.95,131.38,106.99,132.94,135.8,104.41,132.46,154.78,148.65,131.62,101.4,114.15,106.26,111.65,98.49,117.56,104.02,95.93,102.54,82.26,80.27,59.82,48.73,53.19,53.7,47.76,44.86,45.46,41.95,41.41,42.26,41.19,36.02,41.35,47.49,56.28,56.36,53.85,50.91,48.98,54.38,55.1,48.0,-0.34841393655747055,193.9433333333333,2.8111247254830642,12.743425310348883,185.46166666666667,10.100540277078695,45.10828411328184,171.4283333333333,18.677284257145693,Buy
660,660,4.95M,-1.19,Dow Inc.,55.79,39498706944,68.04,-2.09%,Basic Materials,DOW,1482540,56.99,57.93,55.88,53.6,54.84,51.75,48.34,51.56,54.56,56.47,53.26,48.78,54.4,54.82,57.2,59.35,50.39,50.97,46.74,43.93,51.0,53.21,51.61,67.98,66.5,63.72,58.96,59.73,56.72,54.93,55.97,57.56,62.9,62.16,63.28,68.42,62.5,63.94,59.31,51.9,55.5,53.01,45.49,47.05,45.12,41.06,40.76,38.6,36.69,29.24,40.41,46.07,54.73,53.37,50.49,47.65,42.63,48.44,49.31,46.76,1.986399427344308,56.93333333333334,0.8378676639077441,10.125603864734304,55.165,2.0697886365520515,16.83066830668307,53.663333333333334,2.9536286534062164,Buy
666,666,"499,159",-3.04,"Axon Enterprise, Inc.",299.37,22591447040,130.16,-1.01%,Industrials,AXON,29914,293.8,312.88,307.37,249.06,258.33,229.87,204.49,198.99,212.91,185.93,195.12,192.91,210.71,224.85,200.31,195.44,165.93,184.03,145.44,115.75,116.68,110.19,93.17,101.36,112.2,137.73,140.25,139.93,157.0,168.79,179.96,175.02,181.87,186.02,176.8,140.59,151.61,142.42,165.49,164.16,122.53,125.69,98.9,90.7,85.68,83.13,98.13,75.96,72.71,70.77,77.37,76.81,73.28,73.8,51.13,56.78,59.97,70.22,64.21,66.78,-4.414874581123724,304.68333333333334,8.017698478297172,27.81137164484274,275.2183333333333,31.153797744238002,52.29899953346121,236.80499999999995,44.69781883194451,Sell
668,668,1.238M,-4.66,"Builders FirstSource, Inc.",182.03,22196738048,15.23,-2.50%,Industrials,BLDR,125332,178.21,208.55,195.18,173.73,166.94,134.11,108.52,124.49,145.04,144.43,136.0,115.95,94.77,88.78,84.78,79.7,64.88,63.93,61.66,58.92,58.61,68.0,53.7,65.09,61.57,64.54,74.42,67.99,85.71,69.44,58.27,51.74,53.29,44.5,42.66,44.54,48.67,46.37,43.27,38.25,40.81,37.41,30.3,32.62,30.62,23.69,20.7,20.81,18.35,12.23,22.71,24.8,25.41,25.41,22.61,20.58,19.45,17.18,16.86,14.08,-8.694538374833487,193.98000000000002,12.415283591874442,32.88345388114234,176.12000000000003,23.360155536011884,53.69555843035791,152.59583333333336,30.371624492370433,Sell
669,669,"429,258",-2.45,Hubbell Incorporated,396.095,21263489024,28.15,-0.62%,Industrials,HUBB,27213,390.56,415.05,380.67,335.57,328.93,300.0,270.1,313.41,326.05,312.0,331.56,282.46,269.32,243.31,251.54,228.91,234.68,254.06,237.48,223.0,206.3,219.02,178.58,189.86,195.36,183.77,178.25,187.29,208.27,195.7,199.37,180.67,206.11,200.46,186.84,190.64,192.01,186.89,177.51,155.6,156.79,161.59,145.51,136.84,144.92,134.97,125.36,122.42,124.43,114.74,133.24,143.23,147.82,147.02,141.7,131.4,131.14,129.88,130.4,114.54,2.5980508051593207,395.4266666666667,14.451284448872434,30.186666666666667,358.4633333333333,39.874107583186806,38.270905614954344,332.19666666666666,41.641382128305445,Sell
670,670,"625,203",0.64,Booz Allen Hamilton Holding Corporation,145.03,18817062912,46.78,+0.44%,Industrials,BAH,25185,143.01,148.44,147.71,140.77,127.91,125.13,119.93,109.27,113.31,121.08,111.6,100.58,95.72,92.69,94.73,94.64,104.52,106.4,108.85,92.35,95.7,95.98,90.36,85.86,81.63,87.84,80.69,76.73,84.79,83.94,86.86,79.35,81.91,85.81,85.18,84.93,82.95,80.53,77.14,85.17,87.18,86.79,78.5,82.98,88.06,81.76,77.79,79.76,73.44,68.64,71.3,78.04,71.13,72.76,70.37,71.02,75.51,68.75,66.21,63.17,-3.1819105003046624,146.38666666666666,2.406191088744944,14.289139295133058,138.82833333333332,9.12303753630823,42.18532511433684,125.7283333333333,15.387784025720606,Buy
673,673,"350,061",-7.52,"Watsco, Inc.",433.08,17130045440,31.70,-1.71%,Industrials,WSO,53084,406.5,431.97,394.12,390.98,428.47,382.23,348.89,377.72,364.55,378.19,381.47,324.37,346.38,318.16,304.71,287.37,249.4,268.98,270.96,257.46,272.03,273.95,238.82,255.63,266.78,304.64,273.06,282.56,312.88,292.71,289.58,264.62,278.42,282.44,286.64,291.4,292.86,260.75,243.1,238.49,226.55,227.36,224.14,232.89,244.99,236.07,177.7,177.91,160.99,158.03,156.98,173.92,180.15,177.97,176.3,169.18,163.55,162.62,163.53,157.39,3.141175276565512,410.8633333333334,15.757212810505413,6.349580095753861,405.71166666666664,18.756513016964423,25.319850787680732,384.12166666666667,29.133870275372317,Sell
674,674,9.999M,-0.41,"United Airlines Holdings, Inc.",52.26,17183244288,6.38,-0.78%,Industrials,UAL,1876418,53.94,47.88,45.49,41.38,41.26,39.4,35.01,42.3,49.81,54.31,54.87,47.47,43.8,44.25,51.96,48.96,37.7,44.17,43.08,32.53,35.01,36.75,35.42,47.63,50.5,46.36,44.4,42.88,43.78,42.26,46.14,47.57,46.51,46.72,52.29,58.35,54.4,57.54,52.68,39.99,43.25,45.05,33.86,34.75,36.0,31.38,34.61,28.04,29.58,31.55,61.59,74.8,88.09,92.8,90.84,88.41,84.31,91.91,87.55,77.65,18.575511101340943,49.10333333333333,3.556499527469233,36.90355329949239,44.89166666666666,4.94704766053002,13.629660838424265,46.093333333333334,6.144005660442995,Buy
675,675,1.558M,-1.4,AerCap Holdings N.V.,83.715,16951700480,6.08,-1.64%,Industrials,AER,153905,84.41,86.91,77.18,76.56,74.32,68.22,62.12,62.67,61.52,63.81,63.52,57.08,56.36,56.23,62.44,63.21,58.32,61.4,53.41,42.33,44.05,44.86,40.94,49.44,46.71,50.28,54.43,63.0,65.42,56.04,59.04,57.81,53.93,53.0,51.21,59.0,58.25,58.74,48.18,38.24,45.58,36.76,24.83,25.19,29.57,26.93,30.8,32.24,28.12,22.79,52.08,56.61,61.47,61.81,57.88,54.75,53.62,54.53,52.01,44.82,9.367711842446216,82.83333333333333,4.1257430307225285,23.73204338903547,77.93333333333334,6.223427958573598,47.880168185003505,69.86,9.330703796248883,Buy
677,677,2.788M,-1.06,"DuPont de Nemours, Inc.",72.905,30479683584,66.89,-1.43%,Basic Materials,DD,121710,73.91,76.67,69.19,61.8,76.93,71.54,72.88,74.59,76.89,77.63,71.44,67.19,69.72,71.77,73.03,73.95,68.63,70.51,57.2,50.4,55.64,61.23,55.58,67.85,65.93,73.58,77.37,76.6,80.78,73.96,69.6,67.99,74.02,75.05,77.41,84.59,77.11,77.28,70.32,79.45,71.11,63.44,56.88,55.48,55.76,53.48,53.13,50.73,47.02,34.1,42.9,51.18,64.2,64.81,65.91,71.31,67.93,72.16,75.07,64.59,6.821795057089173,73.25666666666666,3.088444412465424,3.3128319821078978,71.67333333333333,5.1844211077247815,10.001488316713795,72.555,4.516216152193487,Buy
678,678,1.772M,-1.6,"PPG Industries, Inc.",128.925,30232913920,21.74,-1.22%,Basic Materials,PPG,198963,131.16,144.9,141.6,141.04,149.55,141.99,122.77,129.8,141.76,143.9,148.3,131.29,140.26,133.58,132.06,130.34,125.74,135.22,114.18,110.69,126.98,129.29,114.34,126.49,127.99,131.07,133.45,156.2,172.44,154.17,160.57,143.01,159.55,163.52,169.77,179.72,171.24,150.26,134.82,134.71,144.22,146.77,129.72,122.08,120.4,107.65,106.06,101.67,90.83,83.6,104.45,119.84,133.49,128.84,125.12,118.51,110.79,117.39,116.71,104.65,-7.372881355932202,139.22,5.856346984255631,-7.627297697020925,141.70666666666668,5.5299718705332435,-0.09901744230329458,139.005,7.921774317243163,Sell
680,680,1.163M,-0.33,"Steel Dynamics, Inc.",129.59,20468353024,8.85,-0.25%,Basic Materials,STLD,239269,137.3,148.23,133.82,120.69,118.1,119.13,106.51,107.22,106.59,106.58,108.93,91.9,103.95,113.06,126.11,120.64,97.7,103.93,94.05,70.95,80.72,77.88,66.15,85.38,85.75,83.43,70.58,55.52,62.07,59.8,66.08,58.48,67.49,64.45,59.6,62.43,54.22,50.76,41.58,34.27,36.87,36.21,31.48,28.63,29.52,27.41,26.09,26.56,24.27,22.54,26.63,29.88,34.04,33.73,30.36,29.8,27.0,31.51,30.2,25.15,2.6005081452697794,139.78333333333333,6.139339450534466,15.252245446151278,129.545,11.146121522754003,49.40152339499456,117.08333333333333,15.295322996117324,Sell
683,683,"719,295",-2.42,Celanese Corporation,153.0075,17069976576,8.50,-1.56%,Basic Materials,CE,38771,154.94,171.86,151.97,146.29,155.37,138.66,114.51,125.52,126.36,125.39,115.8,104.02,106.24,108.89,116.23,123.2,102.24,107.3,96.12,90.34,110.86,117.51,117.61,156.52,146.94,142.87,139.28,155.71,168.06,151.36,161.51,150.64,158.6,155.77,151.6,165.45,156.65,149.81,138.91,122.15,129.94,129.33,113.51,107.45,101.15,97.2,86.34,89.91,83.07,73.39,93.74,103.5,123.12,125.57,121.15,122.29,113.37,112.17,107.8,94.93,1.9543330920576423,159.59,8.760513683569025,11.740949084090582,153.18166666666664,10.13741159709366,48.95212459142473,135.89083333333332,19.569598641061148,Sell
684,684,"247,519",-28.32,"Reliance, Inc.",285.245,16380422144,12.60,-9.03%,Basic Materials,RS,117057,319.54,334.18,321.22,285.42,279.68,275.26,254.38,262.23,284.96,292.86,271.59,234.68,247.8,256.74,247.84,227.45,202.44,211.29,201.48,174.41,187.98,190.25,169.86,194.4,198.25,183.35,190.87,152.88,162.22,148.63,146.16,142.42,150.04,157.15,150.9,168.07,160.31,152.29,132.2,116.08,119.75,117.8,108.99,102.04,104.87,98.26,94.93,97.0,89.58,87.59,102.29,114.8,119.76,117.98,116.04,99.66,97.23,99.95,94.62,83.27,-0.5230060394745055,324.98,6.541437150963074,16.086609024195315,302.55,23.09005485773764,36.15987727970002,284.6666666666667,27.80191010624191,Sell
